"co_cid";"no_cid"
"B370";"Estomatite por candida"
"B371";"Candidíase pulmonar"
"B372";"Candidíase da pele e das unhas"
"B373";"Candidíase da vulva e da vagina"
"B374";"Candidíase de outras localizações urogenitais"
"B375";"Meningite por Candida"
"B376";"Endocardite por Candida"
"B377";"Septicemia por candida"
"B378";"Candidíase de outras localizações"
"B379";"Candidíase não especificada"
"B38 ";"Coccidioidomicose"
"B380";"Coccidioidomicose pulmonar aguda"
"B381";"Coccidioidomicose pulmonar crônica"
"B382";"Coccidioidomicose pulmonar não especificada"
"B383";"Coccidioidomicose cutânea"
"B384";"Meningite por coccidioidomicose"
"B387";"Coccidioidomicose disseminada"
"B388";"Outras formas de coccidioidomicose"
"B389";"Coccidioidomicose não especificada"
"B39 ";"Histoplasmose"
"B390";"Histoplasmose pulmonar aguda por histoplasma capsulatum"
"B391";"Histoplasmose pulmonar crônica por histoplasma capsulatum"
"B392";"Histoplasmose pulmonar não especificada por histoplasma capsulatum"
"B393";"Histoplasmose disseminada por histoplasma capsulatum"
"B394";"Histoplasmose não especificada por histoplasma capsulatum"
"B395";"Histoplasmose por histoplasma duboisii"
"B399";"Histoplasmose não especificada"
"B40 ";"Blastomicose"
"B400";"Blastomicose pulmonar aguda"
"B401";"Blastomicose pulmonar crônica"
"B402";"Blastomicose pulmonar não especificada"
"B403";"Blastomicose cutânea"
"B407";"Blastomicose disseminada"
"B408";"Outras formas de blastomicose"
"B409";"Blastomicose não especificada"
"B41 ";"Paracoccidioidomicose"
"B410";"Paracoccidioidomicose pulmonar"
"B417";"Paracoccidioidomicose disseminada"
"B418";"Outras formas de paracoccidioidomicose"
"B419";"Paracoccidioidomicose não especificada"
"B42 ";"Esporotricose"
"B420";"Esporotricose pulmonar"
"B421";"Esporotricose linfocutânea"
"B427";"Esporotricose disseminada"
"B428";"Outras formas de esporotricose"
"B429";"Esporotricose não especificada"
"B43 ";"Cromomicose e abscesso feomicótico"
"B430";"Cromomicose cutânea"
"B431";"Abscesso cerebral feomicótico"
"B432";"Abscesso e cisto feomicótico subcutâneos"
"B438";"Outras formas de cromomicose"
"B439";"Cromomicose não especificada"
"B44 ";"Aspergilose"
"B440";"Aspergilose pulmonar invasiva"
"B441";"Outras aspergiloses pulmonares"
"B442";"Aspergilose amigdaliana"
"B447";"Aspergilose disseminada"
"B448";"Outras formas de aspergilose"
"B449";"Aspergilose não especificada"
"B45 ";"Criptococose"
"B450";"Criptococose pulmonar"
"B451";"Criptococose cerebral"
"B452";"Criptococose cutânea"
"B453";"Criptococose óssea"
"B457";"Criptococose disseminada"
"B458";"Outras formas de criptococose"
"B459";"Criptococose não especificada"
"B46 ";"Zigomicose"
"B460";"Mucormicose pulmonar"
"B461";"Mucormicose rinocerebral"
"B462";"Mucormicose gastrointestinal"
"B463";"Mucormicose cutânea"
"B464";"Mucormicose disseminada"
"B465";"Mucormicose não especificada"
"B468";"Outras zigomicoses"
"B469";"Zigomicose não especificada"
"B47 ";"Micetoma"
"B470";"Eumicetoma"
"B471";"Actinomicetoma"
"B479";"Micetoma não especificado"
"B48 ";"Outras micoses não classificadas em outra parte"
"B480";"Lobomicose"
"B481";"Rinosporidiose"
"B482";"Alesqueriose"
"B483";"Geotricose"
"B484";"Penicilose"
"B487";"Micoses oportunistas"
"B488";"Outras micoses especificadas"
"B49 ";"Micose não especificada"
"B50 ";"Malária por plasmodium falciparum"
"B500";"Malária por Plasmodium Falciparum com complicações cerebrais"
"B508";"Outras formas graves e complicadas de malária por Plasmodium falciparum"
"B509";"Malária não especificada por plasmodium falciparum"
"B51 ";"Malária por plasmodium vivax"
"B510";"Malária por Plasmodium Vivax com rotura do baço"
"B518";"Malária por Plasmodium Vivax com outras complicações"
"B519";"Malária por Plasmodium Vivax sem complicações"
"B52 ";"Malária por plasmodium maláriae"
"B520";"Malária por Plasmodium Malariae com nefropatia"
"B528";"Malária por Plasmodium Malariae com outras complicações"
"B529";"Malária por Plasmodium Malariae sem complicações"
"B53 ";"Outras formas de malária confirmadas por exames parasitológicos"
"B530";"Malária por Plasmodium Ovale"
"B531";"Malária por plasmódios de macacos"
"B538";"Outras formas de malárias com confirmação parasitológica, não classificadas em outra parte"
"B54 ";"Malária não especificada"
"B55 ";"Leishmaniose"
"B550";"Leishmaniose visceral"
"B551";"Leishmaniose cutânea"
"B552";"Leishmaniose cutâneo-mucosa"
"B559";"Leishmaniose não especificada"
"B56 ";"Tripanossomiase africana"
"B560";"Tripanossomíase por Trypanosoma Gambiense"
"B561";"Tripanossomíase por Trypanosoma Rhodesiense"
"B569";"Tripanossomíase africana não especificada"
"B57 ";"Doença de chagas"
"B570";"Forma aguda da doença de Chagas, com comprometimento cardíaco"
"B571";"Forma aguda da doença de chagas, sem comprometimento cardíaco"
"B572";"Doença de Chagas (crônica) com comprometimento cardíaco"
"B573";"Doença de Chagas (crônica) com comprometimento do aparelho digestivo"
"B574";"Doença de Chagas (crônica) com comprometimento do sistema nervoso"
"B575";"Doença de Chagas (crônica) com comprometimento de outros órgãos"
"B58 ";"Toxoplasmose"
"B580";"Oculopatia por toxoplasma"
"B581";"Hepatite por Toxoplasma"
"B582";"Meningoencefalite por Toxoplasma"
"B583";"Toxoplasmose pulmonar"
"B588";"Toxoplasmose com comprometimento de outros órgãos"
"B589";"Toxoplasmose não especificada"
"B59 ";"Pneumocistose"
"B60 ";"Doenças devidas a protozoários não classificadas em outra parte"
"B600";"Babesiose"
"B601";"Acantamebíase"
"B602";"Naegleríase"
"B608";"Outras doenças especificadas devidas a protozoários"
"B64 ";"Doença não especificada devida a protozoários"
"B65 ";"Esquistossomose (bilharziose) (schistosomiase)"
"B650";"Esquistossomose devida ao Schistosoma Haematobium [esquistossomose urinária]"
"B651";"Esquistossomose devida ao Schistosoma Mansoni [esquistossomose intestinal]"
"B652";"Esquistossomose devida ao Schistosoma Japonicum"
"B653";"Dermatite por cercárias"
"B658";"Outras esquistossomoses"
"B659";"Esquistossomose não especificada"
"B66 ";"Outras infestações por trematodeos"
"B660";"Opistorquíase"
"B661";"Clonorquíase"
"B662";"Dicrocelíase"
"B663";"Fasciolíase"
"B664";"Paragonimíase"
"B665";"Fasciolopsíase"
"B668";"Outras infestações por trematódeos especificados"
"B669";"Infecção não especificada por trematódeo"
"B67 ";"Equinococose"
"B670";"Infestação hepática por Echinococcus Granulosus"
"B671";"Infestação pulmonar por Echinococcus Granulosus"
"B672";"Infestação óssea por Echinococcus Granulosus"
"B673";"Infestações por Echinmococcus Granulosus, outras e de localizações múltiplas"
"B674";"Infestação não especificada por Echinococcus Granulosus"
"B675";"Infestação hepática por Echinococcus Multilocularis"
"B676";"Infecções por Echinococcus Multilocularis, outras e de localizações múltiplas"
"B677";"Infestação não especificada por Echinococcus Multilocularis"
"B678";"Infestação hepática não especificada, por Echinococcus"
"B679";"Infestações por Echinococcus, outras e as não especificadas"
"B68 ";"Infestação por taenia"
"B680";"Infestação por Taenia Solium"
"B681";"Infestação por Taenia Saginata"
"B689";"Infestação não especificada por taenia"
"B69 ";"Cisticercose"
"B690";"Cisticercose do sistema nervoso central"
"B691";"Cisticercose do olho"
"B698";"Cisticercose de outras localizações"
"B699";"Cisticercose não especificada"
"B70 ";"Difilobotriase e esparganose"
"B700";"Difilobotríase"
"B701";"Esparganose"
"B71 ";"Outras infestações por cestóides"
"B710";"Infestação por Hymenolepis"
"B711";"Infestação por Dipylidium"
"B718";"Outras infestações especificadas por cestóides"
"B719";"Infestação não especificada por cestóides"
"B72 ";"Dracontíase"
"B73 ";"Oncocercose"
"B74 ";"Filáriose"
"B740";"Filariose por Wuchereria Bancrofti"
"B741";"Filariose por Brugia Malayi"
"B742";"Filariose por Brugia Timori"
"B743";"Loaíase"
"B744";"Mansonelose"
"B748";"Outras filarioses"
"B749";"Filariose não especificada"
"B75 ";"Triquinose"
"B76 ";"Ancilostomiase"
"B760";"Ancilostomose"
"B761";"Necatoríase"
"B768";"Outras ancilostomíases"
"B769";"Ancilostomíase não especificada"
"B77 ";"Ascaridiase"
"B770";"Ascaridíase com complicações intestinais"
"B778";"Ascaridíase com outras complicações"
"B779";"Ascaridíase não especificada"
"B78 ";"Estrongiloidiase"
"B780";"Estrongiloidíase intestinal"
"B781";"Estrongiloidíase cutânea"
"B787";"Estrongiloidíase disseminada"
"B789";"Estrongiloidíase não especificada"
"B79 ";"Tricuríase"
"B80 ";"Oxiuríase"
"B81 ";"Outras helmintiases intestinais não classificadas em outra parte"
"B810";"Anisaquíase"
"B811";"Capilaríase intestinal"
"B812";"Tricostrongilose"
"B813";"Angiostrongilíase intestinal"
"B814";"Helmintíases intestinais mistas"
"B818";"Outras helmintíases intestinais especificadas"
"B82 ";"Parasitose intestinal não especificada"
"B820";"Helmintíase intestinal não especificada"
"B829";"Parasitose intestinal não especificada"
"B83 ";"Outras helmintiases"
"B830";"Larva Migrans visceral"
"B831";"Gnatostomíase"
"B832";"Angrostrongilíase devida a Parastrongylus cantonensis"
"B833";"Singamose"
"B834";"Hirudiníase Interna"
"B838";"Outras Helmintíases especificadas"
"B839";"Helmintíase não especificada"
"B85 ";"Pediculose e ftiriase"
"B850";"Pediculose devida a Pediculus Humanus Capitis"
"B851";"Pediculose devida a Pediculus Humanus Corporis"
"B852";"Pediculose não especificada"
"B853";"Ftiríase"
"B854";"Pediculose e Ftiríase mista"
"B86 ";"Escabiose [sarna]"
"B87 ";"Miiase"
"B870";"Miíase cutânea"
"B871";"Miíase das feridas"
"B872";"Miíase ocular"
"B873";"Miíase nasofaríngea"
"B874";"Miíase auricular"
"B878";"Miíase de outras localizações"
"B879";"Miíase não especificada"
"B88 ";"Outras infestações"
"B880";"Outras acaríases"
"B881";"Tungíase [infestação pela pulga da areia]"
"B882";"Outras infestações por artrópodos"
"B883";"Hirudiníase externa"
"B888";"Outras infestações especificadas"
"B889";"Infestação não especificada"
"B89 ";"Doença parasitária não especificada"
"B90 ";"Sequelas de tuberculose"
"B900";"Seqüelas de tuberculose do sistema nervoso central"
"B901";"Seqüelas de tuberculose geniturinária"
"B902";"Seqüelas de tuberculose óssea e das articulações"
"B908";"Seqüelas de tuberculose de outros órgãos"
"B909";"Seqüelas de tuberculose das vias respiratórias e de órgãos não especificados"
"B91 ";"Seqüelas de poliomielite"
"B92 ";"Seqüelas de hanseníase [lepra]"
"B94 ";"Sequelas de doenças infecciosas e parasitáriase das não especificadas"
"B940";"Seqüelas de tracoma"
"B941";"Seqüelas de encefalite viral"
"B942";"Seqüelas de hepatite viral"
"B948";"Seqüelas de outras doenças infecciosas e parasitárias especificadas"
"B949";"Seqüelas de doença infecciosa ou parasitária não especificada"
"B95 ";"Estreptococos e estafilococos como causa de doenças classificadas em outros capitulos"
"B950";"Estreptococo do grupo A, como causa de doenças classificadas em outros capítulos"
"B951";"Estreptococo do grupo B, como causa de doenças classificadas em outros capítulos"
"B952";"Estreptococo do grupo D, como causa de doenças classificadas em outros capítulos"
"B953";"Streptococcus Pneumoniae, como causa de doenças classificadas em outros capítulos"
"B954";"Outros estreptococos, como causa de doenças classificadas em outros capítulos"
"B955";"Estreptococo não especificado, como causa de doenças classificadas em outros capítulos"
"B956";"Staphylococcus Aureus, como causa de doenças classificadas em outros capítulos"
"B957";"Outros estafilococos como causa de doenças classificadas em outros capítulos"
"B958";"Estafilococo não especificado, como causa de doenças classificadas em outros capítulos"
"B96 ";"Outros agentes bactérianos como causa de doenças classificadas em outros capitulos"
"B960";"Mycoplasma Pneumoniae [m. pneumoniae], como causa de doenças classificadas em outros capítulos"
"B961";"Klebsiella Pneumoniae [m. pneumoniae], como causa de doenças classificadas em outros capítulos"
"B962";"Escherichia Coli [e. coli], como causa de doenças classificadas em outros capítulos"
"B963";"Haemophilus Influenzae [h. influenzae], como causa de doenças classificadas em outros capítulos"
"B964";"Proteus (Mirabilis) (Morganii), como causa de doenças classificadas em outros capítulos"
"B965";"Pseudomonas (Aeruginosa, Mallei, Pseudomallei), como causa de doenças classif. em outros capítulos"
"B966";"Bacillus Fragilis [B. Fragilis], como causa de doenças classificadas em outros capítulos"
"B967";"Clostridium Perfringens [C. Perfringens], como causa de doenças classificadas em outros capítulos"
"B968";"Outros agentes bacterianos especificados, como causa de doenças classificadas em outros capítulos"
"B97 ";"vírus como causa de doenças classificadas em outros capitulos"
"B970";"Adenovírus, como causa de doenças classificadas em outros capítulos"
"B971";"Enterovírus, como causa de doenças classificadas em outros capítulos"
"B972";"Coronavírus, como causa de doenças classificadas em outros capítulos"
"B973";"Retrovírus, como causa de doenças classificadas em outros capítulos"
"B974";"Vírus sincicial respiratório, como causa de doenças classificadas em outros capítulos"
"B975";"Reovírus, como causa de doenças classificadas em outros capítulos"
"B976";"Parvovírus, como causa de doenças classificadas em outros capítulos"
"B977";"Papilomavírus, como causa de doenças classificadas em outros capítulos"
"B978";"Outros agentes virais, como causa de doenças classificadas em outros capítulos"
"B99 ";"Doenças infecciosas, outras e as não especificadas"
"C00 ";"Neoplasia malígna do lábio"
"C000";"Neoplasia maligna do lábio superior externo"
"C001";"Neoplasia maligna do lábio inferior externo"
"C002";"Neoplasia maligna do lábio externo, não especificado"
"C003";"Neoplasia maligna do lábio superior, face interna"
"C004";"Neoplasia maligna do lábio inferior, face interna"
"C005";"Neoplasia maligna do lábio, sem especificação, face interna"
"C006";"Neoplasia maligna da comissura labial"
"C008";"Neoplasia maligna do lábio com lesão invasiva"
"C009";"Neoplasia maligna do lábio, não especificado"
